隐患点名称	隐患点编号	经度	维度	设备名称	设备编号	时间	采集值x	采集值y	采集值z
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 12:00:00+08	81.59	-47.21	122.01
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 13:00:00+08	68.88	-39.01	69.4
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 14:00:00+08	65.11	-35.76	60.7
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 15:00:00+08	105.09	-48.58	145.22
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 16:00:00+08	58.73	-82.8	34.99
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 17:00:00+08	73.67	-70.26	68.78
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 18:00:00+08	92.04	-72.8	78.82
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 19:00:00+08	73.97	-83.31	69.49
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 20:00:00+08	93.75	-66.87	99.54
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 21:00:00+08	96.51	-63.32	130.34
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 22:00:00+08	67.21	-72.34	50.49
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 23:00:00+08	60.37	-88.7	6.58
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 00:00:00+08	35.98	-72.97	-31.7
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 01:00:00+08	68.76	-70.46	21.27
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 02:00:00+08	77.84	-72.88	22.46
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 03:00:00+08	99.75	-92.18	62.55
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 04:00:00+08	118.25	-83.31	149.41
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 05:00:00+08	110.44	-78.22	99.78
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 06:00:00+08	127.78	-100.14	144.76
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 07:00:00+08	111.4	-107.85	103.3
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 08:00:00+08	104.96	-103.85	137.89
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 09:00:00+08	138.08	-120.74	172.85
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 10:00:00+08	137.29	-114.06	192.74
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 11:00:00+08	146.12	-103.05	208.36
